,DATE,REGION,AGEGROUP,SEX,DEATHS
365,2020-04-03,Wallonia,65-74,M,8
366,2020-04-03,Wallonia,65-74,F,4
367,2020-04-03,Wallonia,75-84,M,18
368,2020-04-03,Wallonia,75-84,F,11
369,2020-04-03,Wallonia,85+,M,19
370,2020-04-03,Wallonia,85+,F,25
371,2020-04-03,Flanders,45-64,M,2
372,2020-04-03,Flanders,45-64,F,1
373,2020-04-03,Flanders,65-74,M,8
374,2020-04-03,Flanders,65-74,F,5
375,2020-04-03,Flanders,75-84,M,23
376,2020-04-03,Flanders,75-84,F,11
377,2020-04-03,Flanders,85+,M,29
378,2020-04-03,Flanders,85+,F,37
379,2020-04-03,Flanders,NA,F,1
380,2020-04-03,Brussels,45-64,M,3
381,2020-04-03,Brussels,45-64,F,1
382,2020-04-03,Brussels,65-74,M,3
383,2020-04-03,Brussels,65-74,F,1
384,2020-04-03,Brussels,75-84,M,7
385,2020-04-03,Brussels,75-84,F,4
386,2020-04-03,Brussels,85+,M,6
387,2020-04-03,Brussels,85+,F,9
388,2020-04-04,Wallonia,25-44,M,1
389,2020-04-04,Wallonia,45-64,M,5
390,2020-04-04,Wallonia,65-74,M,7
391,2020-04-04,Wallonia,65-74,F,7
392,2020-04-04,Wallonia,75-84,M,18
393,2020-04-04,Wallonia,75-84,F,16
394,2020-04-04,Wallonia,85+,M,11
395,2020-04-04,Wallonia,85+,F,21
396,2020-04-04,Wallonia,NA,M,1
397,2020-04-04,Flanders,45-64,M,2
398,2020-04-04,Flanders,45-64,F,2
399,2020-04-04,Flanders,65-74,M,4
400,2020-04-04,Flanders,65-74,F,3
401,2020-04-04,Flanders,75-84,M,27
402,2020-04-04,Flanders,75-84,F,14
403,2020-04-04,Flanders,85+,M,31
404,2020-04-04,Flanders,85+,F,40
405,2020-04-04,Flanders,NA,NA,4
406,2020-04-04,Brussels,45-64,M,2
407,2020-04-04,Brussels,65-74,M,2
408,2020-04-04,Brussels,65-74,F,3
409,2020-04-04,Brussels,75-84,M,12
410,2020-04-04,Brussels,75-84,F,6
411,2020-04-04,Brussels,85+,M,11
412,2020-04-04,Brussels,85+,F,18
413,2020-04-04,Brussels,85+,NA,2
414,2020-04-05,Wallonia,45-64,M,3
415,2020-04-05,Wallonia,65-74,M,10
416,2020-04-05,Wallonia,65-74,F,5
417,2020-04-05,Wallonia,75-84,M,13
418,2020-04-05,Wallonia,75-84,F,11
419,2020-04-05,Wallonia,85+,M,18
420,2020-04-05,Wallonia,85+,F,25
421,2020-04-05,Flanders,25-44,F,1
422,2020-04-05,Flanders,45-64,M,3
423,2020-04-05,Flanders,65-74,M,13
424,2020-04-05,Flanders,65-74,F,7
425,2020-04-05,Flanders,75-84,M,15
426,2020-04-05,Flanders,75-84,F,16
427,2020-04-05,Flanders,85+,M,36
428,2020-04-05,Flanders,85+,F,36
429,2020-04-05,Brussels,25-44,M,2
430,2020-04-05,Brussels,45-64,M,2
431,2020-04-05,Brussels,45-64,F,1
432,2020-04-05,Brussels,65-74,M,2
433,2020-04-05,Brussels,65-74,F,1
434,2020-04-05,Brussels,75-84,M,9
435,2020-04-05,Brussels,75-84,F,3
436,2020-04-05,Brussels,85+,M,2
437,2020-04-05,Brussels,85+,F,11
438,2020-04-06,Wallonia,45-64,M,2
439,2020-04-06,Wallonia,45-64,F,1
440,2020-04-06,Wallonia,65-74,M,6
441,2020-04-06,Wallonia,65-74,F,4
442,2020-04-06,Wallonia,75-84,M,13
443,2020-04-06,Wallonia,75-84,F,11
444,2020-04-06,Wallonia,85+,M,17
445,2020-04-06,Wallonia,85+,F,29
446,2020-04-06,Flanders,25-44,M,1
447,2020-04-06,Flanders,25-44,F,1
448,2020-04-06,Flanders,45-64,M,2
449,2020-04-06,Flanders,45-64,F,1
450,2020-04-06,Flanders,65-74,M,8
451,2020-04-06,Flanders,65-74,F,3
452,2020-04-06,Flanders,75-84,M,16
453,2020-04-06,Flanders,75-84,F,18
454,2020-04-06,Flanders,85+,M,30
455,2020-04-06,Flanders,85+,F,41
456,2020-04-06,Brussels,45-64,M,3
457,2020-04-06,Brussels,45-64,F,2
458,2020-04-06,Brussels,65-74,M,5
459,2020-04-06,Brussels,65-74,F,3
460,2020-04-06,Brussels,75-84,M,10
461,2020-04-06,Brussels,75-84,F,8
462,2020-04-06,Brussels,85+,M,9
463,2020-04-06,Brussels,85+,F,11
464,2020-04-07,Wallonia,25-44,M,2
465,2020-04-07,Wallonia,45-64,M,2
466,2020-04-07,Wallonia,45-64,F,2
467,2020-04-07,Wallonia,65-74,M,7
468,2020-04-07,Wallonia,65-74,F,1
469,2020-04-07,Wallonia,75-84,M,21
470,2020-04-07,Wallonia,75-84,F,13
471,2020-04-07,Wallonia,85+,M,19
472,2020-04-07,Wallonia,85+,F,36
473,2020-04-07,Flanders,25-44,M,1
474,2020-04-07,Flanders,45-64,M,1
475,2020-04-07,Flanders,45-64,F,2
476,2020-04-07,Flanders,65-74,M,5
477,2020-04-07,Flanders,65-74,F,4
478,2020-04-07,Flanders,75-84,M,18
479,2020-04-07,Flanders,75-84,F,26
480,2020-04-07,Flanders,85+,M,21
481,2020-04-07,Flanders,85+,F,46
482,2020-04-07,Brussels,45-64,M,3
483,2020-04-07,Brussels,45-64,F,1
484,2020-04-07,Brussels,65-74,M,4
485,2020-04-07,Brussels,65-74,F,3
486,2020-04-07,Brussels,75-84,M,11
487,2020-04-07,Brussels,75-84,F,9
488,2020-04-07,Brussels,85+,M,7
489,2020-04-07,Brussels,85+,F,11
490,2020-04-08,Wallonia,45-64,M,3
491,2020-04-08,Wallonia,45-64,F,3
492,2020-04-08,Wallonia,65-74,M,6
493,2020-04-08,Wallonia,65-74,F,6
494,2020-04-08,Wallonia,75-84,M,12
495,2020-04-08,Wallonia,75-84,F,23
496,2020-04-08,Wallonia,85+,M,25
497,2020-04-08,Wallonia,85+,F,35
498,2020-04-08,Wallonia,NA,F,1
499,2020-04-08,Flanders,25-44,M,1
500,2020-04-08,Flanders,45-64,M,3
501,2020-04-08,Flanders,45-64,F,2
502,2020-04-08,Flanders,65-74,M,10
503,2020-04-08,Flanders,65-74,F,7
504,2020-04-08,Flanders,75-84,M,20
505,2020-04-08,Flanders,75-84,F,24
506,2020-04-08,Flanders,85+,M,34
507,2020-04-08,Flanders,85+,F,55
508,2020-04-08,Brussels,45-64,F,1
509,2020-04-08,Brussels,65-74,M,2
510,2020-04-08,Brussels,65-74,F,2
511,2020-04-08,Brussels,75-84,M,13
512,2020-04-08,Brussels,75-84,F,8
513,2020-04-08,Brussels,85+,M,8
514,2020-04-08,Brussels,85+,F,20
515,2020-04-09,Wallonia,45-64,M,3
516,2020-04-09,Wallonia,45-64,F,3
517,2020-04-09,Wallonia,65-74,M,14
518,2020-04-09,Wallonia,65-74,F,5
519,2020-04-09,Wallonia,75-84,M,11
520,2020-04-09,Wallonia,75-84,F,14
521,2020-04-09,Wallonia,85+,M,17
522,2020-04-09,Wallonia,85+,F,38
523,2020-04-09,Flanders,25-44,F,1
524,2020-04-09,Flanders,45-64,M,1
525,2020-04-09,Flanders,45-64,F,1
526,2020-04-09,Flanders,65-74,M,4
527,2020-04-09,Flanders,65-74,F,4
528,2020-04-09,Flanders,75-84,M,27
529,2020-04-09,Flanders,75-84,F,15
530,2020-04-09,Flanders,85+,M,24
531,2020-04-09,Flanders,85+,F,47
532,2020-04-09,Brussels,45-64,M,3
533,2020-04-09,Brussels,45-64,F,3
534,2020-04-09,Brussels,65-74,M,1
535,2020-04-09,Brussels,75-84,M,8
536,2020-04-09,Brussels,75-84,F,5
537,2020-04-09,Brussels,85+,M,6
538,2020-04-09,Brussels,85+,F,16
539,2020-04-10,Wallonia,45-64,M,4
